Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes

2013-09-30 01:11:48;2013-09-30 08:02:47;75%;6:50;:|;

2013-09-30 23:59:13;2013-10-01 08:03:11;82%;8:03;;

2013-10-02 01:41:01;2013-10-02 09:01:33;72%;7:20;:|;

2013-10-03 00:37:32;2013-10-03 07:58:16;75%;7:20;:|;

2013-10-04 00:56:02;2013-10-04 07:58:50;79%;7:02;:);

2013-10-05 02:23:08;2013-10-05 09:20:35;65%;6:57;:);

2013-10-07 00:58:31;2013-10-07 07:53:02;74%;6:54;:|;

2013-10-08 00:52:59;2013-10-08 07:42:34;64%;6:49;;

2013-10-09 00:31:55;2013-10-09 08:00:26;79%;7:28;:|;

2013-10-10 01:31:05;2013-10-10 07:41:49;63%;6:10;:|;

2013-10-11 00:25:20;2013-10-11 08:08:33;83%;7:43;:(;

2013-10-12 02:12:32;2013-10-12 10:06:38;79%;7:54;:);

2013-10-13 02:21:53;2013-10-13 09:57:39;59%;7:35;:);

2013-10-14 02:00:22;2013-10-14 07:57:04;62%;5:56;;

2013-10-15 00:59:21;2013-10-15 08:16:23;80%;7:17;:|;

2013-10-16 02:38:09;2013-10-16 07:59:41;54%;5:21;:(;

2013-10-16 07:59:55;2013-10-16 08:15:15;3%;0:15;:(;

2013-10-17 02:03:17;2013-10-17 07:58:57;68%;5:55;:(;

2013-10-24 01:04:08;2013-10-24 07:39:20;78%;6:35;:|;

2013-10-25 02:20:57;2013-10-25 07:54:32;61%;5:33;:(;

2013-10-27 02:35:11;2013-10-27 08:31:11;58%;5:56;:);

2013-10-28 02:20:46;2013-10-28 08:25:17;67%;6:04;:(;

2013-10-29 01:23:56;2013-10-29 08:15:38;72%;6:51;:|;

2013-10-30 01:14:36;2013-10-30 08:15:21;67%;7:00;:(;

2013-10-30 23:31:48;2013-10-31 07:52:56;94%;8:21;:(;

2013-11-01 02:56:23;2013-11-01 07:38:23;57%;4:41;:(;

2013-11-02 01:07:03;2013-11-02 07:39:45;69%;6:32;:(;

2013-11-03 01:15:16;2013-11-03 05:41:10;52%;5:25;:(;

2013-11-04 02:16:01;2013-11-04 08:07:41;66%;5:51;:|;

2013-11-05 01:05:32;2013-11-05 07:57:59;71%;6:52;:(;

2013-11-06 01:01:35;2013-11-06 08:11:09;76%;7:09;:(;

2013-11-06 08:11:21;2013-11-06 08:30:18;3%;0:18;:(;

2013-11-07 00:40:30;2013-11-07 08:12:33;86%;7:32;:|;

2013-11-08 00:41:00;2013-11-08 07:30:08;68%;6:49;:(;

2013-11-11 01:03:04;2013-11-11 07:53:55;76%;6:50;:|;

2013-11-12 00:30:36;2013-11-12 08:10:27;83%;7:39;:|;

2013-11-13 01:05:03;2013-11-13 08:10:58;79%;7:05;:|;

2013-11-14 02:02:21;2013-11-14 08:05:14;65%;6:02;:);

2013-11-15 01:04:04;2013-11-15 08:08:36;75%;7:04;:|;

2013-11-16 00:51:22;2013-11-16 09:19:53;93%;8:28;:|;

2013-11-17 01:40:23;2013-11-17 09:40:57;86%;8:00;:(;

2013-11-18 01:21:17;2013-11-18 08:04:05;75%;6:42;:(;

2013-11-20 02:39:07;2013-11-20 08:03:31;57%;5:24;:(;

2013-11-21 02:34:28;2013-11-21 08:04:52;62%;5:30;:(;

2013-11-22 01:35:12;2013-11-22 08:04:36;68%;6:29;:(;

2013-11-23 03:12:13;2013-11-23 10:29:58;75%;7:17;:|;

2013-11-25 22:57:06;2013-11-26 07:43:38;92%;8:46;:(;

2013-11-27 01:01:14;2013-11-27 08:09:10;81%;7:07;:(;

